Process_ID,Interval,Layer,Sv_mean,NASC,Sv_max,Height_mean,Depth_mean,Date_M,Time_M,Lat_S,Lon_S,Lat_E,Lon_E,Lat_M,Lon_M,ABC
684,1,1,-72.666078,583.208701,-53.25479,250,125,20040201, 21:05:10.0000,-62.16742699,-60.71236033,-62.16625804,-60.71114137,-62.16742699,-60.71236033,1.35311E-05
684,2,1,-90.226685,10.227356,-78.732481,250,125,20040201, 21:05:50.0000,-62.16509366,-60.70996837,-62.16509366,-60.70996837,-62.16509366,-60.70996837,2.37286E-07
684,3,1,-73.866852,442.330279,-54.374531,250,125,20040201, 21:06:10.0000,-62.16391821,-60.70876873,-62.16276014,-60.70755155,-62.16391821,-60.70876873,1.02625E-05
684,4,1,-69.134015,1315.316809,-50.103937,250,125,20040201, 21:06:50.0000,-62.161575,-60.70636667,-62.1604354,-60.70511014,-62.161575,-60.70636667,3.05168E-05
684,5,1,-73.463343,485.397526,-53.863295,250,125,20040201, 21:07:30.0000,-62.15926599,-60.70394108,-62.15809337,-60.70281003,-62.15926599,-60.70394108,1.12617E-05
684,6,1,-101.837781,0.705755,-88.511009,250,125,20040201, 21:08:10.0000,-62.15694137,-60.70164137,-62.15694137,-60.70164137,-62.15694137,-60.70164137,1.63743E-08
684,7,1,-107.622004,0.186308,-94.576626,250,125,20040201, 21:08:30.0000,-62.15577441,-60.70044108,-62.15461014,-60.69929347,-62.15577441,-60.70044108,4.32255E-09
684,8,1,-109.058501,0.133839,-96.254615,250,125,20040201, 21:09:10.0000,-62.15344337,-60.69810146,-62.15225804,-60.69699137,-62.15344337,-60.69810146,3.1052E-09
684,9,1,-71.225129,812.678781,-53.504962,250,125,20040201, 21:09:50.0000,-62.15109934,-60.6957995,-62.14994309,-60.69461829,-62.15109934,-60.6957995,1.8855E-05
684,10,1,-104.199048,0.409758,-93.088534,250,125,20040201, 21:10:30.0000,-62.1487765,-60.69344316,-62.1487765,-60.69344316,-62.1487765,-60.69344316,9.50682E-09
684,11,1,-80.385907,98.591883,-60.767003,250,125,20040201, 21:10:50.0000,-62.14760983,-60.6923265,-62.14646795,-60.69113504,-62.14760983,-60.6923265,2.28744E-06
684,12,1,-72.217667,646.643865,-54.298377,250,125,20040201, 21:11:30.0000,-62.14529316,-60.68994316,-62.14411763,-60.68880918,-62.14529316,-60.68994316,1.50028E-05
684,13,1,-65.755135,2863.639702,-46.939206,250,125,20040201, 21:12:10.0000,-62.14294309,-60.68765122,-62.14177412,-60.68648233,-62.14294309,-60.68765122,6.64395E-05
684,14,1,-87.758139,18.055849,-73.277177,250,125,20040201, 21:12:50.0000,-62.14060774,-60.68529108,-62.14060774,-60.68529108,-62.14060774,-60.68529108,4.18915E-07
684,15,1,-89.913168,10.99297,-72.239578,250,125,20040201, 21:13:10.0000,-62.13945976,-60.68406829,-62.13829108,-60.68290774,-62.13945976,-60.68406829,2.55049E-07
684,16,1,-76.942131,217.880712,-57.63951,250,125,20040201, 21:13:50.0000,-62.13712383,-60.68173233,-62.13595983,-60.68059316,-62.13712383,-60.68173233,5.05507E-06
