Process_ID,Interval,Layer,Sv_mean,NASC,Sv_max,Height_mean,Depth_mean,Date_M,Time_M,Lat_S,Lon_S,Lat_E,Lon_E,Lat_M,Lon_M,ABC
694,1,1,-96.685965,2.303497,-83.578835,249.167999,124.6768,20050211, 03:37:30.0000,999,999,-61.90664414,-57.15829938,-61.90585698,-57.15963884,5.34436E-08
694,2,1,-98.089874,1.667235,-87.908052,249.167999,124.6768,20050211, 03:38:10.0000,-61.90740923,-57.15688523,-61.90817225,-57.15548884,-61.90740923,-57.15688523,3.86816E-08
694,3,1,-99.646558,1.165006,-90.0812,249.167999,124.6768,20050211, 03:38:50.0000,-61.9089263,-57.15401599,-61.90969423,-57.15254706,-61.9089263,-57.15401599,2.70294E-08
694,4,1,-99.11034,1.318105,-87.08165,249.167999,124.6768,20050211, 03:39:50.0000,-61.9104608,-57.15111605,-61.91200772,-57.14830432,-61.91123968,-57.14972192,3.05815E-08
694,5,1,-101.674319,0.730386,-90.986137,249.167999,124.6768,20050211, 03:40:30.0000,-61.91277614,-57.14688296,-61.91354198,-57.14539938,-61.91277614,-57.14688296,1.69457E-08
694,6,1,-100.869387,0.879114,-89.958829,249.167999,124.6768,20050211, 03:41:10.0000,-61.91430772,-57.14396944,-61.9150894,-57.14251967,-61.91430772,-57.14396944,2.03964E-08
694,7,1,-98.888785,1.387093,-86.449291,249.167999,124.6768,20050211, 03:41:50.0000,-61.91585857,-57.14103071,-61.91662437,-57.13954933,-61.91585857,-57.14103071,3.21821E-08
694,8,1,-97.892533,1.74474,-87.210696,249.167999,124.6768,20050211, 03:42:30.0000,-61.91737534,-57.13806381,-61.91812766,-57.13656574,-61.91737534,-57.13806381,4.04799E-08
694,9,1,-98.765837,1.426922,-87.721716,249.167999,124.6768,20050211, 03:43:30.0000,-61.91887426,-57.13511967,-61.92040829,-57.13214801,-61.91965868,-57.13364715,3.31061E-08
694,10,1,-98.890092,1.386676,-88.996765,249.167999,124.6768,20050211, 03:44:10.0000,-61.92117756,-57.13069706,-61.92195698,-57.12928743,-61.92117756,-57.13069706,3.21724E-08
694,11,1,-98.254941,1.605055,-86.615022,249.167999,124.6768,20050211, 03:44:50.0000,-61.92276063,-57.12788299,-61.92357318,-57.12658697,-61.92276063,-57.12788299,3.7239E-08
694,12,1,-96.283231,2.527324,-89.544461,249.167999,124.6768,20050211, 03:45:30.0000,-61.92439427,-57.12529917,-61.92522598,-57.1240351,-61.92439427,-57.12529917,5.86367E-08
694,13,1,-95.561656,2.984135,-89.133541,249.167999,124.6768,20050211, 03:46:10.0000,-61.9260594,-57.12275163,-61.92689427,-57.12144917,-61.9260594,-57.12275163,6.92352E-08
694,14,1,-94.265602,4.021831,-84.579599,249.167999,124.6768,20050211, 03:46:50.0000,-61.92771017,-57.1201504,-61.92852666,-57.11881934,-61.92771017,-57.1201504,9.33108E-08
694,15,1,-94.165676,4.115442,-82.258233,249.167999,124.6768,20050211, 03:47:50.0000,-61.92934333,-57.11750267,-61.9309904,-57.1148901,-61.9301763,-57.11620125,9.54827E-08
694,16,1,-94.540508,3.775142,-86.071126,249.167999,124.6768,20050211, 03:48:30.0000,-61.93180707,-57.11360536,-61.93260947,-57.11228485,-61.93180707,-57.11360536,8.75874E-08
694,17,1,-95.76206,2.849562,-86.025911,249.167999,124.6768,20050211, 03:49:10.0000,-61.93342411,-57.11091844,-61.93421007,-57.10954853,-61.93342411,-57.11091844,6.61129E-08
694,18,1,-96.427256,2.444885,-87.680119,249.167999,124.6768,20050211, 03:49:50.0000,-61.93500947,-57.10813485,-61.93579297,-57.10670124,-61.93500947,-57.10813485,5.6724E-08
694,19,1,-94.690058,3.647358,-87.03394,249.167999,124.6768,20050211, 03:50:30.0000,-61.93658837,-57.10528867,-61.93737683,-57.10381504,-61.93658837,-57.10528867,8.46226E-08
694,20,1,-74.623527,370.366252,-58.576454,249.167999,124.6768,20050211, 03:51:10.0000,-61.93818963,-57.1024066,-61.93900629,-57.10100534,-61.93818963,-57.1024066,8.5929E-06
694,21,1,-94.645005,3.685391,-84.162069,249.167999,124.6768,20050211, 03:52:10.0000,-61.93984268,-57.09960171,-61.94147674,-57.09680055,-61.94064341,-57.09819853,8.55051E-08
