Process_ID,Interval,Layer,Sv_mean,NASC,Sv_max,Height_mean,Depth_mean,Date_M,Time_M,Lat_S,Lon_S,Lat_E,Lon_E,Lat_M,Lon_M,ABC
681,1,1,-91.986288,6.820292,-79.626343,250,125,20020131, 09:08:50.0000,-62.87661037,-62.2749926,-62.87581017,-62.27196383,-62.87634303,-62.27404575,1.58238E-07
681,2,1,-89.122877,13.186943,-77.405559,250,125,20020131, 09:10:10.0000,-62.87550981,-62.27085102,-62.87446564,-62.2673865,-62.87519391,-62.26973702,3.05951E-07
681,3,1,-64.445934,3871.136449,-48.420569,250,125,20020131, 09:11:30.0000,-62.87409391,-62.26610897,-62.87329315,-62.26327259,-62.8736935,-62.26472908,8.98145E-05
681,4,1,-58.317585,15873.52262,-43.027408,250,125,20020131, 09:12:10.0000,-62.87288117,-62.2617935,-62.87243231,-62.26026359,-62.87288117,-62.2617935,0.000368283
681,5,1,-63.957594,4331.840315,-47.05928,250,125,20020131, 09:13:10.0000,-62.87196472,-62.25871574,-62.87098134,-62.25544892,-62.87147724,-62.25711955,0.000100503
681,6,1,-80.069931,106.032437,-64.878455,250,125,20020131, 09:13:50.0000,-62.87048157,-62.25373796,-62.86996475,-62.25198742,-62.87048157,-62.25373796,2.46007E-06
681,7,1,-67.130157,2086.489138,-52.152289,250,125,20020131, 09:14:30.0000,-62.86943261,-62.25023647,-62.86888139,-62.24842064,-62.86943261,-62.25023647,4.84088E-05
681,8,1,-75.057594,336.257844,-54.539085,250,125,20020131, 09:15:30.0000,-62.86832136,-62.24658074,-62.86721508,-62.24282194,-62.86777136,-62.24470874,7.80154E-06
681,9,1,-80.268896,101.284321,-65.128778,250,125,20020131, 09:16:10.0000,-62.86664858,-62.240911,-62.8660661,-62.23900902,-62.86664858,-62.240911,2.34991E-06
681,10,1,-86.957123,21.712986,-77.110498,250,125,20020131, 09:16:50.0000,-62.86548231,-62.2370959,-62.86488269,-62.23519207,-62.86548231,-62.2370959,5.03765E-07
681,11,1,-85.360763,31.358518,-70.00519,250,125,20020131, 09:17:30.0000,-62.86429897,-62.23326256,-62.86368752,-62.23132402,-62.86429897,-62.23326256,7.27551E-07
681,12,1,-74.796256,357.113496,-59.536098,250,125,20020131, 09:18:10.0000,-62.86308803,-62.22939741,-62.86248231,-62.2274459,-62.86308803,-62.22939741,8.28542E-06
681,13,1,-81.988118,68.174204,-64.95305,250,125,20020131, 09:18:50.0000,-62.86188677,-62.2255103,-62.86128803,-62.22355275,-62.86188677,-62.2255103,1.58172E-06
