Region_ID,Region_name,Region_class,Process_ID,Sv_mean,Sv_max,Height_mean,Depth_mean,Ping_M,Dist_M,Date_S,Time_S,Date_E,Time_E,Date_M,Time_M,Lat_S,Lon_S,Lat_E,Lon_E,Lat_M,Lon_M,Program_version,EV_filename,Uncorrected_length,Uncorrected_thickness,Uncorrected_perimeter,Uncorrected_area,Standard_deviation,Corrected_length,Corrected_thickness,Corrected_perimeter,Corrected_area,Horizontal_roughness_coefficient,Vertical_roughness_coefficient,ABC,Area_Backscatter_Strength,Thickness_mean,Frequency,Center_of_mass,Inertia,Proportion_occupied,Equivalent_area,Aggregation_index
6431,"Region 6431","Krill Schools 120",708,-48.063527,-43.184991,18.365270,18.924089,547,2539.126540,20231128, 21:56:40.0011,20231128, 21:57:04.0011,20231128, 21:56:52.0011,-63.01300385,-62.17241791,-63.01303017,-62.17233797,-63.01302167,-62.17239666,"15.0.246.0","C:\Work\2023-24 AMLR03\amlr03_20231128.EV",31.001995,18.510450,75.050391,572.882496,0.00001043339311,26.426218,17.760450,64.398837,468.541343,0.00001605582066,0.00000350291682,0.00028684326994,-35.4235533530,18.365270,120.000000,18.797835,25.036421,1.000000,63.571233,0.015730
6432,"Region 6432","Krill Schools 120",708,-72.179690,-69.812979,3.508517,41.879007,2615,6235.565526,20231129, 02:27:38.0011,20231129, 02:28:08.0011,20231129, 02:27:50.0011,-63.02186052,-62.11647953,-63.02189601,-62.11634508,-63.02187555,-62.11642261,"15.0.246.0","C:\Work\2023-24 AMLR03\amlr03_20231128.EV",9.567065,5.081300,35.548961,33.263248,0.00000002328422,7.939004,4.331300,30.792840,23.528563,0.00000002425783,0.00000000562030,0.00000021240003,-66.7284543385,3.508517,120.000000,41.877679,1.328847,1.000000,18.379121,0.054410
6433,"Region 6433","Krill Schools 120",708,-65.149286,-59.108426,3.357287,125.064068,5283,10912.685361,20231129, 07:09:58.0011,20231129, 07:10:40.0011,20231129, 07:10:16.0011,-63.04422646,-62.04034189,-63.04421588,-62.04011000,-63.04422207,-62.04024585,"15.0.246.0","C:\Work\2023-24 AMLR03\amlr03_20231128.EV",13.518569,4.355400,35.725157,45.712667,0.00000037420344,11.676473,3.605400,30.540964,32.684579,0.00000174059573,0.00000024642535,0.00000102579337,-59.8894011371,3.357287,120.000000,124.877917,0.584177,1.000000,10.831414,0.092324
6434,"Region 6434","Krill Schools 120",708,-54.447182,-49.760807,17.276420,91.738408,10459,21560.567311,20231129, 16:22:57.0011,20231129, 16:23:21.0011,20231129, 16:23:09.0011,-63.07882061,-61.86455260,-63.07879667,-61.86436999,-63.07880796,-61.86446075,"15.0.246.0","C:\Work\2023-24 AMLR03\amlr03_20231128.EV",13.587395,20.688150,66.664065,238.216650,0.00000317825685,-9999.000000,19.938150,-9999.000000,-9999.000000,0.00000265412195,0.00000076208675,0.00006204910974,-42.0726444520,17.276420,120.000000,94.099161,17.771128,1.000000,48.534599,0.020604
6435,"Region 6435","Krill Schools 120",708,-63.226496,-57.673575,4.128556,72.914395,14470,34380.673877,20231129, 22:35:42.0011,20231129, 22:36:24.0011,20231129, 22:36:00.0011,-63.16163395,-61.69842412,-63.16174330,-61.69859658,-63.16168148,-61.69849909,"15.0.246.0","C:\Work\2023-24 AMLR03\amlr03_20231128.EV",16.945036,5.081300,44.196256,70.086470,0.00000052628291,-9999.000000,4.331300,-9999.000000,-9999.000000,0.00000128166879,0.00000018451324,0.00000196403228,-57.0685137867,4.128556,120.000000,73.186843,0.912695,1.000000,14.942109,0.066925
6436,"Region 6436","Krill Schools 120",708,-52.894477,-43.105573,8.008316,167.092310,15844,37350.436618,20231130, 00:54:03.0011,20231130, 00:57:03.0011,20231130, 00:55:33.0011,-63.18314367,-61.73234773,-63.18361166,-61.73308582,-63.18337772,-61.73271686,"15.0.246.0","C:\Work\2023-24 AMLR03\amlr03_20231128.EV",66.196645,15.243900,174.337905,529.231273,0.00000846392307,25.671852,14.493900,91.788319,195.144308,0.00002100238304,0.00000323297218,0.00004112382964,-43.8590644865,8.008316,120.000000,168.158477,13.012013,1.000000,66.867010,0.014955
6437,"Region 6437","Krill Schools 120",708,-59.421424,-53.062143,9.281150,17.029587,17612,41390.560679,20231130, 04:11:58.0011,20231130, 04:12:34.0012,20231130, 04:12:16.0010,-63.21307166,-61.77239833,-63.21300635,-61.77229994,-63.21302500,-61.77239666,"15.0.246.0","C:\Work\2023-24 AMLR03\amlr03_20231128.EV",12.458491,12.340300,50.987446,116.501841,0.00000119626008,9.564340,11.590300,43.699144,84.002327,0.00000185278679,0.00000043418359,0.00001060374724,-49.7454063305,9.281150,120.000000,17.529278,6.369825,1.000000,31.082334,0.032173
6438,"Region 6438","Krill Schools 120",708,-58.965016,-52.127922,4.271642,131.824389,24776,53651.384764,20231130, 15:57:56.0011,20231130, 15:59:08.0011,20231130, 15:58:32.0011,-63.16857734,-61.55821637,-63.16852222,-61.55761437,-63.16854938,-61.55791104,"15.0.246.0","C:\Work\2023-24 AMLR03\amlr03_20231128.EV",33.445047,5.444250,77.393276,143.471620,0.00000154414221,-9999.000000,4.694250,-9999.000000,-9999.000000,0.00000324479253,0.00000070748311,0.00000542117300,-52.6590673332,4.271642,120.000000,132.143953,1.043935,1.000000,22.475777,0.044492
6439,"Region 6439","Krill Schools 120",708,-63.132716,-58.886094,2.385100,13.053050,31631,72127.717099,20231201, 04:18:02.0011,20231201, 04:18:38.0011,20231201, 04:18:20.0011,-63.12667368,-61.21307500,-63.12668291,-61.21294015,-63.12669186,-61.21305127,"15.0.246.0","C:\Work\2023-24 AMLR03\amlr03_20231128.EV",10.624657,2.903600,25.783453,24.972923,0.00000047588599,8.863031,2.153600,20.760202,15.451299,0.00000050226690,0.00000007604265,0.00000115940450,-59.3576501806,2.385100,120.000000,13.411259,0.429220,1.000000,8.616824,0.116052
6440,"Region 6440","Krill Schools 120",708,-73.164678,-72.995225,1.724013,332.411260,31875,72664.217337,20231201, 04:42:38.0011,20231201, 04:42:56.0011,20231201, 04:42:44.0011,-63.12551263,-61.20279269,-63.12549855,-61.20267065,-63.12550768,-61.20274981,"15.0.246.0","C:\Work\2023-24 AMLR03\amlr03_20231128.EV",8.580429,2.177700,21.504281,14.641101,0.00000000258958,8.580429,1.427700,20.004281,9.598705,0.00000000039953,0.00000000013471,0.00000008319028,-70.7992742303,1.724013,120.000000,332.437882,0.356953,1.000000,6.877286,0.145406
